Date,ServiceID,ClientID,Quantity,Time
01/06/2023,4,1006,4,77.19
17/05/2023,3,1006,9,50.49
13/03/2023,3,1001,8,38.99
09/05/2023,6,1002,2,45.25
10/02/2023,4,1010,9,28.79
17/03/2023,7,1002,8,33.58
14/03/2023,7,1006,3,38.86
10/01/2023,5,1008,4,23.35
27/06/2023,5,1002,9,44.36
05/06/2023,9,1004,5,38.64
22/05/2023,8,1001,7,28.93
20/02/2023,9,1001,8,46.23
27/02/2023,1,1007,4,64.05
23/02/2023,2,1001,3,22.28
05/05/2023,5,1002,5,27.56
01/06/2023,9,1007,8,48.37
08/03/2023,2,1009,5,40.23
09/05/2023,3,1006,1,97.02
29/06/2023,2,1002,1,31.03
08/04/2023,9,1004,5,50.92
11/02/2023,6,1002,5,28.16
21/06/2023,8,1010,3,78.45
28/01/2023,9,1007,3,12.02
05/02/2023,3,1010,9,89.03
02/03/2023,2,1004,9,52.67
13/04/2023,6,1003,4,46.28
15/01/2023,10,1003,1,39.16
24/01/2023,6,1004,3,21.25
23/01/2023,6,1008,4,20.71
19/03/2023,7,1006,6,88.05
16/01/2023,9,1009,5,49.59
05/01/2023,10,1006,4,32.65
12/06/2023,2,1005,7,45.39
07/06/2023,3,1007,3,93.3
20/05/2023,10,1005,7,22.47
28/02/2023,3,1006,1,67.7
26/03/2023,10,1008,7,13.6
08/03/2023,10,1005,2,50.42
26/03/2023,1,1007,5,14.77
24/05/2023,10,1005,1,51.87
02/01/2023,10,1005,6,81.07
24/01/2023,7,1002,4,78.69
28/01/2023,3,1007,5,10
19/02/2023,6,1010,3,34.64
18/02/2023,2,1001,7,39.51
10/05/2023,10,1002,9,11.46
17/02/2023,1,1006,4,93.27
19/06/2023,2,1001,2,82.33
22/04/2023,7,1007,8,44.76
26/01/2023,4,1001,3,36.99
23/05/2023,4,1003,9,64.65
17/01/2023,4,1003,7,14.81
25/04/2023,5,1003,5,36.18
08/02/2023,4,1006,1,35.28
08/05/2023,10,1004,5,64.91
25/02/2023,7,1008,4,57.54
16/04/2023,9,1001,9,10.78
11/06/2023,6,1004,6,67.56
07/01/2023,10,1003,4,97.77
14/05/2023,4,1009,5,43.75
29/05/2023,10,1004,2,96.31
09/01/2023,6,1009,7,70.41
23/05/2023,4,1001,8,58.41
03/06/2023,4,1009,3,68.72
18/03/2023,3,1008,8,80.67
07/01/2023,3,1006,3,96.91
02/01/2023,6,1007,4,55.45
21/01/2023,4,1003,6,93.22
02/03/2023,6,1002,7,90.37
03/01/2023,3,1003,2,18.13
02/04/2023,6,1009,4,52.24
05/02/2023,7,1010,1,11.78
17/05/2023,10,1002,2,93.33
03/06/2023,9,1005,9,33.99
25/02/2023,7,1007,2,39.1
16/01/2023,2,1009,4,41.6
26/05/2023,3,1005,1,32.59
01/06/2023,3,1006,1,22.63
03/04/2023,10,1005,3,26.04
23/04/2023,1,1009,8,86.22
03/03/2023,5,1008,7,87.81
01/03/2023,1,1004,4,43.93
31/03/2023,7,1003,7,74.75
25/04/2023,5,1009,2,35.49
18/01/2023,8,1002,5,15.75
30/04/2023,2,1002,4,40.91
19/01/2023,2,1001,1,17.89
01/05/2023,4,1005,2,89.83
14/04/2023,8,1002,6,38.49
11/06/2023,2,1009,7,84.95
13/04/2023,5,1001,2,33.66
04/03/2023,4,1004,2,30.82
22/01/2023,8,1009,9,34.32
19/01/2023,9,1009,8,80.78
02/06/2023,10,1006,9,58.62
15/03/2023,2,1010,4,72.94
15/01/2023,8,1001,1,98.3
04/06/2023,1,1007,2,48.36
10/06/2023,9,1003,5,62.59
13/02/2023,2,1010,2,42.41
21/04/2023,8,1006,5,86.87
08/01/2023,1,1005,2,54.85
28/01/2023,5,1004,8,65.45
09/06/2023,1,1003,9,13.58
02/06/2023,7,1009,3,71.47
12/04/2023,2,1005,9,10.12
21/02/2023,2,1005,7,86.92
29/06/2023,1,1006,3,93.32
27/06/2023,8,1004,4,19.56
26/01/2023,2,1005,3,57.78
30/01/2023,6,1008,4,76.91
09/05/2023,1,1003,2,82.95
30/04/2023,3,1003,2,63.45
19/03/2023,1,1005,8,96
01/01/2023,9,1009,7,61.54
25/01/2023,3,1009,8,92.58
08/04/2023,7,1005,8,46.21
17/02/2023,1,1005,4,85.56
06/05/2023,6,1009,5,94.82
07/01/2023,2,1007,3,10.2
30/05/2023,8,1007,5,12.7
20/06/2023,6,1002,8,79.24
02/03/2023,4,1010,5,79.02
05/06/2023,5,1004,2,68.05
30/01/2023,9,1005,3,29.59
16/03/2023,4,1001,8,32.76
13/02/2023,8,1009,8,93.69
08/03/2023,7,1006,7,16.82
17/01/2023,4,1004,6,78.72
11/05/2023,4,1001,5,56.24
14/04/2023,1,1008,1,16.5
24/01/2023,5,1005,6,85.3
25/05/2023,8,1006,7,29
14/05/2023,2,1003,3,36.17
11/03/2023,6,1003,9,59.75
22/02/2023,9,1009,3,62.57
12/01/2023,10,1010,7,70.85
29/06/2023,6,1005,1,39.68
20/05/2023,9,1006,1,88.27
10/03/2023,3,1004,6,63.41
14/04/2023,8,1004,1,73.3
29/04/2023,8,1001,7,68.01
28/06/2023,2,1003,8,27.89
28/03/2023,7,1009,5,35.47
11/05/2023,4,1001,8,75.3
23/03/2023,5,1001,9,11.64
19/06/2023,7,1003,8,31
14/06/2023,2,1005,2,40.62
13/01/2023,6,1005,5,84.98
17/04/2023,6,1005,1,56.9
22/05/2023,6,1004,5,50.16
10/06/2023,3,1010,6,52.94
06/03/2023,2,1005,7,27.99
25/03/2023,9,1003,8,26.07
11/01/2023,10,1002,1,91.23
27/03/2023,6,1009,7,16.57
15/06/2023,9,1001,8,35.04
21/05/2023,9,1009,5,89.2
18/01/2023,10,1001,4,12.85
29/05/2023,1,1003,5,78.32
20/06/2023,5,1003,4,50.67
26/02/2023,5,1002,9,52.74
18/01/2023,4,1005,8,90.01
14/03/2023,8,1006,3,28.48
16/04/2023,1,1004,8,81.19
29/03/2023,6,1007,1,66.76
17/03/2023,8,1009,6,65.7
26/06/2023,3,1001,2,61.93
20/04/2023,8,1002,2,87.11
29/04/2023,5,1003,7,54.88
03/02/2023,8,1007,7,67.12
02/06/2023,6,1004,5,16.99
28/05/2023,10,1001,8,61.54
11/02/2023,1,1004,7,15.1
09/05/2023,7,1007,1,80.51
17/01/2023,5,1004,2,11.5
13/06/2023,5,1005,5,86.72
02/06/2023,4,1001,6,18.59
06/05/2023,1,1008,4,94.15
13/05/2023,5,1008,8,88.87
10/06/2023,6,1001,6,32.58
12/03/2023,7,1004,9,32.8
19/03/2023,4,1005,1,28.38
12/02/2023,4,1002,9,34.59
04/02/2023,8,1009,2,66.88
21/02/2023,8,1004,3,37.98
06/03/2023,2,1005,5,49.63
05/04/2023,3,1006,9,30.7
16/02/2023,3,1010,5,13.3
16/04/2023,5,1005,3,48.45
12/04/2023,3,1009,5,17.64
09/03/2023,4,1001,8,64.07
20/05/2023,10,1005,8,37
25/06/2023,8,1010,7,97.09
31/05/2023,8,1003,3,12.45
18/02/2023,1,1009,5,91.97
21/06/2023,4,1001,8,20.21
02/04/2023,1,1009,8,25.54
20/02/2023,4,1002,6,68.19
10/01/2023,7,1008,2,23.36
